TEL-001000,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-01 06:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001001,AST-001,Temperature,TEMP_AMBIENT,2024-01-01 06:00:00,18.0,C,Good,Normal,35.0
TEL-001002,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-01 12:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001003,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-01 18:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001004,AST-001,Temperature,TEMP_AMBIENT,2024-01-01 18:00:00,18.0,C,Good,Normal,35.0
TEL-001005,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-01 23:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001006,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-02 06:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001007,AST-001,Temperature,TEMP_AMBIENT,2024-01-02 06:00:00,18.0,C,Good,Normal,35.0
TEL-001008,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-02 12:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001009,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-02 18:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001010,AST-001,Temperature,TEMP_AMBIENT,2024-01-02 18:00:00,18.0,C,Good,Normal,35.0
TEL-001011,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-02 23:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001012,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-03 06:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001013,AST-001,Temperature,TEMP_AMBIENT,2024-01-03 06:00:00,18.0,C,Good,Normal,35.0
TEL-001014,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-03 12:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001015,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-03 18:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001016,AST-001,Temperature,TEMP_AMBIENT,2024-01-03 18:00:00,18.0,C,Good,Normal,35.0
TEL-001017,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-03 23:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001018,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-04 06:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001019,AST-001,Temperature,TEMP_AMBIENT,2024-01-04 06:00:00,18.0,C,Good,Normal,35.0
TEL-001020,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-04 12:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001021,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-04 18:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001022,AST-001,Temperature,TEMP_AMBIENT,2024-01-04 18:00:00,18.0,C,Good,Normal,35.0
TEL-001023,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-04 23:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001024,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-05 06:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001025,AST-001,Temperature,TEMP_AMBIENT,2024-01-05 06:00:00,18.0,C,Good,Normal,35.0
TEL-001026,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-05 12:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001027,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-05 18:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001028,AST-001,Temperature,TEMP_AMBIENT,2024-01-05 18:00:00,18.0,C,Good,Normal,35.0
TEL-001029,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-05 23:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001030,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-06 06:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001031,AST-001,Temperature,TEMP_AMBIENT,2024-01-06 06:00:00,18.0,C,Good,Normal,35.0
TEL-001032,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-06 12:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001033,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-06 18:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001034,AST-001,Temperature,TEMP_AMBIENT,2024-01-06 18:00:00,18.0,C,Good,Normal,35.0
TEL-001035,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-06 23:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001036,AST-001,Vibration,VIB_MAIN_DRIVE,2024-01-07 06:00:00,0.5,mm/s,Good,Normal,3.5
TEL-001037,AST-001,Temperature,TEMP_AMBIENT,2024-01-07 06:00:00,18.0,C,Good,Normal,35.0
